post_id,cmt_author,cmt_content,cmt_created_at
7340435772,뭐냐준호야,하이브리드도 배터리는 있으니 열폭주하면 잡기 힘들듯?,2024.08.09 10:44
7340435772,이름을뭘로하지,리튬전지가 들어간 이상 소화난이도가 높을 수밖에 없음기존 분말소화기도 안먹히고 할론소화기도 안먹히고 CO2소화기도 안먹혀서 K형 금속화재용 소화기를 시도해볼 순 있으나 이것도 소화방식이 애매해서 사용하기도 어려울 때가 많음그래서 소방서에서 사용하는 방법은 결국 차를 수조같은데에 가두고 물을 담아서 그냥 차를 물에 푹 담가버리는 것..,2024.08.09 10:44
7340435772,사무_오모로디온,이름을뭘로하지 담에는 하이브리드 타고 싶었는데 또 불안하넹,2024.08.09 10:46
7340391139,내연남,ㅠㅠㅠㅜ 로빈후드 개놈들 또 너네야?,2024.08.09 10:24
7340391139,J.Kiwior,저건 진짜 애물단지겠네,2024.08.09 10:24
7340391139,남자페미,이해는 감,2024.08.09 10:24
7340391139,먹꾸링,와 팔리지도 않는다고??,2024.08.09 10:24
7340391139,거북아달려,먹꾸링 가만히 서있는것도 불타는데 누가 저걸 사겠으며 누가 저걸 주차장에 넣어두겠음..,2024.08.09 10:25
7340391139,거북아달려,당연한얘기임,2024.08.09 10:24
7340391139,Kaka#22.,당연함 ㅋㅋㅋ,2024.08.09 10:25
7340391139,하락장이싫어요,공짜로 주면 탈게 ㅋㅋ,2024.08.09 10:25
7340391139,pursuer,드궤줴...하면좆댬??,2024.08.09 10:25
7340391139,방구뿡뿡헉쌌다,걍 타야지 뭐..,2024.08.09 10:27
7340391139,목포세발낙지,두가자..,2024.08.09 10:27
7340391139,kkkku,저걸 누가 삼 ㅋㅋ 안그래도 비싼 찬데,2024.08.09 10:27
7340371814,아이육닉,1. 소비자에게 고지도 안하고 CATL 아닌 다른 배터리 몰래 쓴 벤츠2. 관리사무소의 소방시설 관리책임벤츠는 병신같긴 하지만 소비자한테만 보상하면 끝날 가능성이 높아보이는데관리사무소는 답도없을듯,2024.08.09 10:25
7340371814,TOYOTA,이럴거 뻔히 보였는데 애꿎은 전기차주들만 뚜드려맞는거 보면서 대단하다 싶었음,2024.08.09 10:27
7340371814,호넷,관리업체 조졌네 ㄹㅇㅋㅋ,2024.08.09 10:23
7340371814,B.페르난데스,소방업무 태만 vs 배터리 좆같은거 쓴 벤츠 ㅋㅋ 차주는 그나마 다행이네,2024.08.09 10:27
7340371814,NX450h+,흐아암 어제 누가 경기소방에서 유튭만든걸로 2부작 썼는데둘다 비추폭탄이더라구 ㅎ,2024.08.09 13:00
